[Header]
Data File Name	D:\助燃剂标准品检验\92#汽油\百分一92#汽-乙.qgd
Output Date	2018/4/17
Output Time	17:25:25

[MS Chromatogram]
m/z	1-1 83.00
Event Time(msec)	200
# of Points	9750
Start Time(min)	2.500
End Time(min)	34.997
Ret.Time	Absolute Intensity	Relative Intensity
5.587	1454	0.18
5.590	1385	0.17
5.593	1313	0.16
5.597	1255	0.15
5.600	1231	0.15
5.603	1218	0.15
5.607	1214	0.15
5.610	1230	0.15
5.613	1250	0.15
5.617	1259	0.15
5.620	1286	0.16
5.623	1337	0.16
5.627	1388	0.17
5.630	1421	0.17
5.633	1432	0.18
5.637	1471	0.18
5.640	1550	0.19
5.643	1638	0.20
5.647	1739	0.21
5.650	1902	0.23
5.653	2129	0.26
5.657	2493	0.30
5.660	3125	0.38
5.663	3990	0.49
5.667	5020	0.61
5.670	6205	0.76
5.673	7860	0.96
5.677	9929	1.21
5.680	11594	1.42
5.683	13615	1.66
5.687	16255	1.99
5.690	19188	2.35
5.693	21626	2.64
5.697	24157	2.95
5.700	26592	3.25
5.703	28079	3.43
5.707	30455	3.72
5.710	32406	3.96
5.713	33136	4.05
5.717	34399	4.21
5.720	35809	4.38
5.723	36915	4.51
5.727	39196	4.79
5.730	40890	5.00
5.733	42124	5.15
5.737	42299	5.17
5.740	42365	5.18
5.743	42177	5.16
5.747	39420	4.82
5.750	36255	4.43
5.753	32511	3.98
5.757	27946	3.42
5.760	23397	2.86
5.763	19679	2.41
5.767	16008	1.96
5.770	12861	1.57
5.773	11349	1.39
5.777	11204	1.37
5.780	12087	1.48
5.783	15390	1.88
5.787	20167	2.47
5.790	28034	3.43
5.793	39142	4.79
5.797	52888	6.47
5.800	68761	8.41
5.803	86569	10.59
5.807	106765	13.06
5.810	127497	15.59
5.813	145653	17.81
5.817	160238	19.59
5.820	171092	20.92
5.823	176545	21.59
5.827	176486	21.58
5.830	170091	20.80
5.833	157281	19.23
5.837	140953	17.24
5.840	122335	14.96
5.843	101930	12.46
5.847	82073	10.04
5.850	64226	7.85
5.853	48370	5.91
5.857	35246	4.31
5.860	25143	3.07
5.863	18304	2.24
5.867	12992	1.59
5.870	9618	1.18
5.873	6969	0.85
5.877	5433	0.66
5.880	4471	0.55
5.883	3874	0.47
5.887	3593	0.44
5.890	3465	0.42
5.893	3446	0.42
5.897	3448	0.42
5.900	3406	0.42
5.903	3394	0.42
5.907	3418	0.42
5.910	3533	0.43
5.913	4067	0.50
5.917	5065	0.62
5.920	6237	0.76
5.923	7642	0.93
5.927	9819	1.20
5.930	12493	1.53
5.933	15192	1.86
5.937	18236	2.23
5.940	20928	2.56
5.943	22728	2.78
5.947	23956	2.93
5.950	24312	2.97
5.953	24032	2.94
5.957	22957	2.81
5.960	21700	2.65
5.963	19631	2.40
5.967	16683	2.04
5.970	13737	1.68
5.973	11624	1.42
5.977	9512	1.16
5.980	7069	0.86
5.983	5979	0.73
5.987	5204	0.64
5.990	4755	0.58
5.993	4569	0.56
5.997	4559	0.56
6.000	4580	0.56
6.003	4683	0.57
6.007	4863	0.59
6.010	4975	0.61
6.013	4972	0.61
6.017	5058	0.62
6.020	5280	0.65
6.023	5323	0.65
6.027	5340	0.65
6.030	5648	0.69
6.033	5970	0.73
6.037	6143	0.75
6.040	6317	0.77
6.043	6516	0.80
6.047	6764	0.83
6.050	6825	0.83
6.053	6613	0.81
6.057	6507	0.80
6.060	6522	0.80
6.063	6469	0.79
6.067	6387	0.78
6.070	6326	0.77
6.073	6300	0.77
6.077	6359	0.78
6.080	6467	0.79
6.083	6667	0.82
6.087	6888	0.84
6.090	6942	0.85
6.093	7100	0.87
6.097	7316	0.89
6.100	7344	0.90
6.103	7348	0.90
6.107	7400	0.90
6.110	7415	0.91
6.113	7399	0.90
6.117	7348	0.90
6.120	7110	0.87
6.123	6636	0.81
6.127	6104	0.75
6.130	5460	0.67
6.133	4847	0.59
6.137	4231	0.52
6.140	3427	0.42
