[Header]
Data File Name	D:\助燃剂标准品检验\92#汽油\百分一92#汽-乙.qgd
Output Date	2018/4/17
Output Time	17:05:48

[MS Chromatogram]
m/z	1-1 TIC
Event Time(msec)	200
# of Points	9750
Start Time(min)	2.500
End Time(min)	34.997
Ret.Time	Absolute Intensity	Relative Intensity
6.177	110027	0.69
6.180	101255	0.64
6.183	93538	0.59
6.187	88456	0.56
6.190	86889	0.55
6.193	86863	0.55
6.197	86907	0.55
6.200	87727	0.55
6.203	92026	0.58
6.207	96891	0.61
6.210	101565	0.64
6.213	107271	0.67
6.217	110938	0.70
6.220	113654	0.71
6.223	114344	0.72
6.227	114281	0.72
6.230	112875	0.71
6.233	110882	0.70
6.237	109110	0.69
6.240	107788	0.68
6.243	107663	0.68
6.247	108952	0.68
6.250	112398	0.71
6.253	118081	0.74
6.257	127408	0.80
6.260	138758	0.87
6.263	151172	0.95
6.267	165062	1.04
6.270	180355	1.13
6.273	195991	1.23
6.277	209635	1.32
6.280	218678	1.37
6.283	219227	1.38
6.287	215815	1.36
6.290	209152	1.31
6.293	199399	1.25
6.297	188955	1.19
6.300	176170	1.11
6.303	161137	1.01
6.307	146738	0.92
6.310	134146	0.84
6.313	122644	0.77
6.317	112902	0.71
6.320	104529	0.66
6.323	96979	0.61
6.327	91088	0.57
6.330	86378	0.54
6.333	82602	0.52
6.337	79703	0.50
6.340	76599	0.48
6.343	74054	0.47
6.347	71809	0.45
6.350	71200	0.45
6.353	71178	0.45
6.357	71202	0.45
6.360	71167	0.45
6.363	71181	0.45
6.367	71300	0.45
6.370	71965	0.45
6.373	73265	0.46
6.377	74254	0.47
6.380	76489	0.48
6.383	79190	0.50
6.387	79734	0.50
6.390	80054	0.50
6.393	80232	0.50
6.397	80137	0.50
6.400	79866	0.50
6.403	79753	0.50
6.407	79775	0.50
6.410	82490	0.52
6.413	88146	0.55
6.417	95536	0.60
6.420	106805	0.67
6.423	123722	0.78
6.427	146090	0.92
6.430	170527	1.07
6.433	199036	1.25
6.437	232479	1.46
6.440	267614	1.68
6.443	302234	1.90
6.447	339488	2.13
6.450	376008	2.36
6.453	408392	2.57
6.457	435564	2.74
6.460	461141	2.90
6.463	486729	3.06
6.467	510673	3.21
6.470	534538	3.36
6.473	557948	3.51
6.477	580215	3.65
6.480	597182	3.75
6.483	605431	3.81
6.487	607606	3.82
6.490	599224	3.77
6.493	576860	3.63
6.497	548189	3.45
